"REF_DATE","GEO","DGUID","Selected livestock","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1921","Quebec","2016A000224","Total cattle","Number of animals","Number","223","units","0","v62727680","6.1.2","1594710","","","","0"
"1921","Quebec","2016A000224","Total cattle","Average number","Number","223","units","0","v62727681","6.1.3","","..","","","0"
"1921","Quebec","2016A000224","Total pigs","Number of farms reporting","Number","223","units","0","v62727700","6.8.1","105885","","","","0"
"1921","Quebec","2016A000224","Total pigs","Number of animals","Number","223","units","0","v62727701","6.8.2","690857","","","","0"
"1921","Quebec","2016A000224","Total pigs","Average number","Number","223","units","0","v62727702","6.8.3","7","","","","0"
"1921","Quebec","2016A000224","Total sheep","Number of farms reporting","Number","223","units","0","v62727712","6.12.1","67992","","","","0"
"1921","Quebec","2016A000224","Total sheep","Number of animals","Number","223","units","0","v62727713","6.12.2","856169","","","","0"
"1921","Quebec","2016A000224","Total sheep","Average number","Number","223","units","0","v62727714","6.12.3","13","","","","0"
"1921","Quebec","2016A000224","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727724","6.16.1","123534","","","","0"
"1921","Quebec","2016A000224","Horses and ponies","Number of animals","Number","223","units","0","v62727725","6.16.2","332533","","","","0"
"1921","Quebec","2016A000224","Horses and ponies","Average number","Number","223","units","0","v62727726","6.16.3","3","","","","0"
"1921","Quebec","2016A000224","Total hens and chickens","Number of animals","Number","223","units","0","v62727752","6.25.2","5252340","","","","0"
"1921","Quebec","2016A000224","Total hens and chickens","Average number","Number","223","units","0","v62727753","6.25.3","","..","","","0"
"1921","Ontario","2016A000235","Total cattle","Number of animals","Number","223","units","0","v62727758","7.1.2","2633562","","","","0"
"1921","Ontario","2016A000235","Total cattle","Average number","Number","223","units","0","v62727759","7.1.3","","..","","","0"
"1921","Ontario","2016A000235","Total pigs","Number of farms reporting","Number","223","units","0","v62727778","7.8.1","138945","","","","0"
"1921","Ontario","2016A000235","Total pigs","Number of animals","Number","223","units","0","v62727779","7.8.2","1386081","","","","0"
